Material;Texto breve material
4004192;CIMEGRIPE DISPLAY
4004193;CIMEGRIPE 20
4004194;CIMEGRIPE SOL
4004195;CIMELIDE 100MG
4004196;CIMELIDE 50MG/ML
4004197;COLUJET 1
4004199;DIAD 0,75
4004200;EPATIVAN SOL
4004201;FLUCONAZOL 150MG
4004202;FLUCONAZOL 150MG
4004204;LAVITAN AZ
4004205;LAVITAN AZ
4004208;LAVITAN CALCIO
4004210;LAVITAN ENERGIA
4004211;LAVITAN HAIR
4004212;LAVITAN KIDS
4004213;LAVITAN KIDS
4004214;LAVITAN KIDS
4004215;LAVITAN MAIS
4004216;LAVITAN MAIS
4004217;LAVITAN MAIS
4004218;LAVITAN MAIS
4004219;LAVITAN MEMORIA
4004220;LAVITAN SENIOR
4004222;LAVITAN VITAMINA
4004224;LORATAMED 10
4004225;LORATAMED 1MG-ML
4004226;NARIX 0,5MG-M
4004227;NARIX SPRAY
4004229;OLEO MINERAL
4004231;SIMETICONA 75
4004232;ULCEROCIN 150MG
4004233;VALERIMED 50MG
4004234;VANTIL 50MG-ML
4004237;NIMESULIDA 100MG
4004240;CIMECORT CR
4004241;CLOR METFORMINA
4004242;PANTOPRAZOL SÃDICO
4004243;PANTOPRAZOL SÃDICO
4004260;LOSARTANA POTASSICA
4004270;IRUXOL MONO
4004280;IRUXOL COLAGENASE
4004281;MAXIFLOX-D POM
4004290;ESTOMAZIL SEM
4004292;ESTOMAZIL ABACAXI
4004294;PROCTOSAN POMADA
4004295;AMPLIUM G
4004296;LAVITAN AZ
4004297;DIPROGENTA POMADA
4004300;BUSCOFEM 400MG
4004306;LAMOTRIGINA 25MG
4004308;FEMINA 150MCG+20MCG
4004309;TANISEA 500MG
4004310;TANISEA 20MG/ML
4004311;TANISEA 20MG/ML
4004312;DONAREN RETARD
4004313;COLCHIS 0,5MG
4004314;SUPRELLE 0,5MG/1MG
4004330;LORATADINA 1MG/ML
4004340;ALPRAZOLAM 0,5MG
4004341;COMPLEXO B
4004342;LUMIGAN RC
4004351;ALDACTONE 100MG
4004352;ALGINAC RETARD
4004353;ALOXIDIL C/50ML
4004354;ATENSINA 0,100MG
4004356;BUSCOPAN COMPOSTO
4004357;CARDIZEM SR
4004359;DAFLON 1000
4004360;DECADRON 0,5MG
4004361;DECADRON 0,75MG
4004362;DECADRON 4MG
4004363;DECNAZOL 1000MG
4004364;DEPAKOTE 250MG
4004365;DEPAKOTE ER
4004366;DIPROGENTA CREME
4004367;DRENISON CREM
4004368;DUOVENT N
4004369;ENSURE PO
4004370;ENSURE PO
4004371;ESOMEPRAZOL 40MG
4004372;EVANOR C/21CP
4004374;GLIFAGE 500MG
4004375;GYNAZOLE-1 2PC
4004377;LISADOR C/16CP
4004378;LIVALO 2MG
4004379;MERTHIOLATE 10MG
4004380;MICARDIS 80MG
4004381;MICARDIS HCT
4004382;MICARDIS HCT
4004383;NALDECON DIA
4004384;NALDECON NOITE
4004385;OMCILON-A ORABASE
4004386;PATZ SL
4004387;PLETIL 500MG
4004388;PRAZOL 30MG
4004389;PRAZOL 30MG
4004390;PURAN T4
4004391;QUADRIDERM CREME
4004392;ROSUVASTATINA CALCICA
4004393;SECNIDAZOL 1000MG
4004394;STEZZA C/28CP
4004396;CELESTONE 2MG
4004400;METOPROLOL 100MG
4004401;DRENIFORMIO CREME
4004410;HIDROQUINONA+TRET+FLUO CREME
4004420;VITA SUPRAZ
4004421;COLACT 667MG/ML
4004422;FLORASTOR SACHE
4004423;FLORASTOR CAPSULAS
4004424;ABLOK 25MG
4004425;VASOPRIL 10MG
4004427;PANTOGAR MEN
4004430;PSOREX POMADA
4004441;LUFTA GASTROPRO
4004442;FLOGORAL COLUTORIO
4004450;ARTICO 30CAPS
4004460;FEMME FLUOR
4004470;BRASART 320MG
4004471;SINVASTATINA 20MG
4004480;LABEL 150MG
4004481;VITAWIN VITA
4004491;NITRENDIPINO -
4004500;ALOIS 10MG
4004510;RABEPRAZOL SODICO
4004520;PANTOPRAZOL 40MG
4004530;SEPURIN C/20DRAGEAS
4004540;TEFIN 1
4004550;NIMESULIDA 50
4004551;TREZOR 5MG
4004560;TAMARINE GELEIA
4004561;TAMARINE GELEIA
4004563;FENTIZOL SPRAY
4004564;CEFALEXINA 500MG
4004565;PROTOPIC POMADA
4004566;NEOLINCO 600MG
4004570;BIO VAGIN
4004571;CITTA 20MG
4004573;RITMONEURAN 20CAP
4004574;FORXIGA 10MG
4004581;TRILAX C/30CP
4004582;MARACUGINA 90MG/ML
4004583;LEVEL C/63CP
4004584;COBAPETIT 0,8MG/ML+4MG/GX100ML
4004586;HIDROCORTISONA TEUTO
4004590;ETNA C/20
4004591;DONAREN RETARD
4004594;TYLIDOL 750MG
4004595;BUDECORT AQUA
4004596;BUDECORT AQUA
4004599;PHARMATON 50+
4004601;FIBRINASE C/CLORAFENICOL
4004620;OXOTRON 60MG
4004621;PROTOPIC POMADA
4004626;GYNO-ICADEN CREME
4004630;ADIPEPT 40MG
4004640;MARACUGINA C/20CP
4004641;METAMUCIL NATURAL
4004651;LABIRIN 24MG
4004652;EZETROL 10MG
4004653;EZETIMIBA 10MG
4004660;PHARMATON COMPLEX
4004661;PHARMATON COMPLEX
4004662;PHARMATON COMPLEX
4004664;METAMUCIL LARANJA
4004665;NASOJET 9MG
4004679;MULTIGRIP C/20BLX
4004691;DESOL 200UI
4004692;FOLINE 60CP
4004694;HUMULIN 100UI
4004700;SINOT 875MG
4004701;ACEBROFILINA PED
4004720;FORASEQ 12/200MCG
4004721;NISTATINA CR
4004730;ICTUS 12,5MG
4004753;CETOCONAZOL 200MG
4004760;TAPAZOL 10MG
4004770;ACETILCISTEINA 600MG
4004771;ACETILCISTEINA XPE
4004773;ATORVASTATINA 10MG
4004774;BROMOPRIDA GTS
4004775;CETOCONAZOL 200MG
4004776;CETOCONAZOL SHAMPOO
4004777;DESLORATADINA XPE
4004778;DESLORATADINA XPE
4004779;DESONIDA CREME
4004780;DEXCLORFENIRAMINA+BETAMETAS.XPE 120ML
4004781;DICLOFENACO DE
4004782;DICLOFENACO DE
4004783;DIPIRONA SODICA
4004784;DOMPERIDONA 10MG
4004785;DROSPIRENONA+ETINILEST 3MG
4004786;DROSPIRENONA+ETNIL 3/0.02MG
4004787;GABAPENTINA 600MG
4004788;HIDROQUINONA+TRET+FLUO CREME
4004795;AMOXICILINA+CLAV 875+125MG
4004800;DOMPERIX 1MG/ML
4004810;IBUVIX 300MG
4005012;LACTO-PURGA C/25BLX6CP
4005023;ARTROGEN DUO
4005050;ALCACHOFRA MILIAN
4005060;ADDERA D3
4005071;MARACUJÃ CONCETRIX
4005072;GLIANSOR 2MG
4005073;GLIANSOR 4MG
4005074;ACECLO-GRAN 100MG
4005075;IODEX 28G
4005076;KOMBIGLYZE XR
4005077;CIMETIDINA 200MG
4005078;DOSS 2000UI
4005079;ISOVIT 75MG
4005080;TROK N
4005081;AMBROXOL-EXPECTUSS PED
4005084;NOVANLO 5MG
4005090;IBUPROTRAT SUSPENSÃO
4005091;BETRICORT CREME
4005092;LIPANON RETARD
4005093;STILNOX CR
4005094;ITRASPOR 15CP
4005095;ELÃ 3
4005096;CIMETIDINA 200MG
4005097;PRESS PLUS
4005098;LITOCIT 10MG
4005099;VOMISTOP 10ML
4005100;A SAUDE
4005111;NEBILET 5MG
4005112;NEBILET 5MG
4005114;ARADOIS H
4005201;ACETILCIST 100MG/ML
4005202;AH-ZUL 50MG
4005203;AMOXICILINA 500MG
4005204;AMOXICILINA 500MG
4005205;AMPICILINA 500MG
4005206;ANLODIPINO 5MG
4005207;APETIVITON BC
4005208;APRESOLINA 25MG
4005209;ASPIRINA ADT
4005210;AZITROMICINA 500MG
4005211;AZORGA SUSP
4005212;BENECTRIN SUSP
4005213;BETAPROSPAN 5MG+2MG/ML+1AMP+SER+AGU(UQF)
4005214;BETRICORT POM
4005216;BROMETO IPRATROPIO
4005217;BUPROVIL 600MG
4005218;BUPROVIL 600MG
4005219;BUPROVIL GOTAS
4005220;CAPTOPRIL 25MG
4005221;CEFALEXINA 250MG/5ML
4005222;CELERG XPE
4005223;CENEVIT 1G
4005224;CETOCONAZOL CREME
4005225;CETOPROFENO 20MG/ML
4005226;CIPROFLOXACINO 500MG
4005227;CLORETO DE
4005228;COLIRIO LEGRAND
4005229;COLIRIO TEUTO
4005231;DELTAMETRIL SHAMPOO
4005232;DEXAVISON COLIRIO
4005233;DIFEBRIL GOTAS
4005235;DIPIMED GTS
4005236;DIPIRONA MONOID
4005237;DIPIRONA SODICA
4005238;DORICIN 30COMPRIMIDOS
4005239;FLORENT 200
4005240;FLUCOCIN 150MG
4005241;FLUCONAZOL 150MG
4005242;GLIFAGE XR
4005251;HEXAMIDIDA+TETRACAINA 1MG/ML
4005252;IBUFLEX 400MG
4005253;IBUPROFENO 100MG
4005254;LESTALGYN 2MG/5ML+0,25/ML
4005255;LEXIN 500MG
4005256;LORATADINA 10MG
4005257;LORATADINA 1MG/ML
4005258;LOSARTANA POTASSICA
4005259;LOSARTANA POTASSICA
4005260;LOSARTANA POTASSICO
4005261;LUFTAL GOTAS
4005262;MAGNOSTASE 2MG
4005263;MAXALGINA GTS
4005264;MAXALGINA XPE
4005265;MONOZOL 400MG
4005266;NEOCOPAN C/20CP
4005267;NEOCOPAN GTS
4005268;NEOLEFRIN C/20CP
4005269;NIMESULIDA 100MG
4005270;NITAZOXANIDA 500MG
4005271;NITAZOXANIDA 500MG
4005272;NORETISTERONA ENT+ESTR
4005274;OMEPRAZOL 20MG
4005275;OMEPRAZOL 20MG
4005276;OXYDERME POM
4005277;PARACETAMOL 750MG
4005278;PARACETAMOL 750MG
4005279;POLIMOXIL 250MG
4005280;PREDNISOLONA 20MG
4005281;PREDNISOLONA FOSF
4005282;PREDNISOLONA FOSF
4005283;QUADRIDERM POMADA
4005284;RANITIDINA HCL
4005285;RISPERIDONA 1MG
4005286;SECNIDAZOL 1000MG
4005287;SECNIDAZOL 900MG
4005288;SIMETICONA 75MG
4005289;STARFOR C
4005290;TADALAFILA 20MG
4005291;TORAGESIC 10MG
4005292;VITER C
4005293;VITER C
4005294;VITER C
4005295;VOLTAREN 75MG
4005296;XAROPE GUACO
4005297;ZYPRED SOL
4005298;ALBENTEL 40MG/ML
4005299;DEXASON 4MG
4005300;PARACETAMOL GTS
4005312;ATENOLOL+CLORT 50/12,5MG
4005325;PANTOPRAZOL 40MG
4005326;AFOPIC C/20CP
4005342;CLONAZEPAM 2MG
4005345;MIND 10MG
4005350;AMIORON 200MG
4005351;GABAPENTINA 300MG
4005352;MIORRELAX 30CP
4005353;BIOMAG 10MG
4005354;BIOMAG 15MG
4005355;NOVANLO 2,5MG
4005361;PANTOPRAZOL 20MG
4005362;TADALAFILA 20MG
4005363;CIPROFIBRATO 100MG
4005371;DOSS 1000UI
4005372;DOSS 1000UI
4005373;DOSS 50000UI
4005374;DOSS 1000UI
4005375;DOSS 7000UI
4005376;CLINDAMICINA 300MG
4005378;AAS AS-MED
4005379;ACICLOVIR CREME
4005381;HELLEVA 80MG
4005383;LANTUS SOL
4005385;ALL OMEGA
4005388;ENALAPRIL-GEN 5MG
4005389;DOSS 7000UI
4005390;EUTHYROX 125MCG
4005391;CLOPIDOGREL-GEN 75MG
4005393;ATENOLOL-GEN 25MG
4005394;ATENOLOL-GEN 50MG
4005395;CETIRIZINA-GEN 10MG
4005396;ALBENDAZOL-GEN 400MG
4005402;ARTICO 500MG+400MG
4005405;DOMPERIX 10MG
4005406;PANTOCAL 20
4005407;PANTOCAL 40
4005408;TRIMEB 200MG
4005409;TRIMEB 200MG
4005410;AZOX 20MG/ML
4005411;AZOX 500MG
4005413;AZOX 20MG/ML
4005420;TURNO 10MG
4005421;ALTIVA 120MG
4005422;ALTIVA 180MG
4005423;BETINA 16MG
4005424;BETINA 24MG
4005425;HOLMES H
4005426;HOLMES H
4005427;HOLMES H
4005428;MAQ 60CPR
4005429;MAQ SENIOR
4005430;MAQ DERMA
4005431;PLAQ 75MG
4005432;PRIMERA 20MCG
4005434;STUB 0,4MG
4005435;ALTA D
4005436;ALTA D
4005438;BICERTO 150MG
4005439;COGMAX 60
4005440;ÃSIO 20MG
4005441;ÃSIO 40MG
4005442;PERLATTE 30
4005443;TÃMISA 20MCG
4005444;TÃMISA 30MCG
4005445;VAST 10MG
4005446;VAST 20MG
4005447;VAST 40MG
4005448;VARTAZ 80MG
4005449;ZART 50MG
4005450;ZART H
4005451;ZART H
4005452;AIDE 3
4005453;AIDE 3
4005454;DEXFER 100MG
4005455;DEXFER 100MG
4005456;DEXFER 10MG
4005457;DUOMO HP
4005458;MOLIERI 20
4005459;MOLIERI 30
4005460;PERGO 2MG/ML
4005461;PERIVASC 450MG
4005462;PERIVASC 450MG
4005471;MELHORAL ADULTO
4005472;LAMOTRIGINA 100MG
4005480;PREDNISONA 20MG
4005481;DIMETICONA 40MG
4005482;RANITIDINA 150
4005483;DICOLORIDRATO DE
4005490;VALSARTANA 320MG
4005491;ROSUVASTATINA 10MG
4005492;CEFALEXINA 50MG/ML
4005493;TADALAFILA 5MG
4005494;HIDROCLOROTIAZIDA 25MG
4005495;LOSARTANA 50MG
4005497;TADALAFILA 20MG
4005498;ROSUVASTATINA 20
4005499;CLOPIDOGREL 75MG
4005501;TADALAFILA 20MG
4005502;CETOPROFENO 150MG
4005503;FLUCONAZOL 150MG
4005504;CLONAZEPAM 0.5MG
4005510;PANTOPRAZOL 40MG
4005511;GLIBENCLAMIDA 5MG
4005512;PROPRANOLOL 10MG
4005513;CLONAZEPAM 2MG
4005536;LEVOTIROXINA 100MCG
4005539;SECNIDAZOL 1000MG
4005541;AMITRIPTILINA 25MG
4005550;CIPROFLOXACINO 500MG
4005553;FLUOXETINA 20MG
4005554;PANTOPRAZOL-GEN 20MG
4005555;PANTOPRAZOL-GEN 40MG
4005556;HIDROCLOROTIAZIDA 25MG
4005558;MELOXICAM 15MG
4005561;ALBENDAZOL 40MG/ML
4005562;PROPRANOLOL 40MG
4005580;ENALAPRIL 10MG
4005582;CLONAZEPAM 2MG
4005588;DICLOFENACO DE
4005590;NITROFURANTOINA 100MG
4005593;AZITROMICINA 500MG
4005594;METOCLOPRAMIDA 4MG
4005595;TRAMADOL 50MG
4005596;AZITROMICINA 500MG
4005598;ACICLOVIR 200
4005599;RANITIDINA 300MG
4005603;SEKI GOTAS
4005604;ZOLOFT 50MG
4005606;FENOBARBITAL 40MG
4005607;FENOBARBITAL 100MG
4005608;AMOXICILINA 250MG/5ML
4005609;CARBAMAZEPINA 200MG
4005615;ROXFLAN 10MG
4005629;PRIMOSISTON ORAL
4005630;HISTAMIX 10MG
4005631;AKINETON 2MG
4005632;YAZ 3MG+0,02MG
4005640;AMOXICILINA 50MG/ML
4005650;DORFLEX GOTAS
4005652;DORFLEX 24
4005653;PHARMATON 50+
4005654;PHARMATON 50+
4005655;ACEBROFILINA XPE
4005656;ACULAR LS
4005660;PRESS PLUS
4005661;ARADOIS H
4005662;ARADOIS H
4005663;PRESS PLUS
4005664;ARADOIS H
4005665;ARADOIS H
4005666;CICLOBENZAPRINA 10
4005667;AMOXICILINA-GEN 875+125MG
4005668;MAXIFLOX-D POM
4005672;LANELI DHA
4005674;DISFOR 11G
4005675;FASCIA 11G
4005676;REVITAM CALCIO
4005677;FASCIA ABACAXI
4005678;DISFOR ARTRO
4005679;DOISKA 60MCG
4005680;DISFOR C/30
4005681;RISCARD 500MG
4005682;SINTOMATIC 300MG
4005684;VENULA 200MG
4005685;VONAU FLASH
4005686;PANTOGAR NEO
4005687;XEFO 8MG
4005688;CONTRACTUBEX GEL
4005689;XEFO 8MG
4005690;SARCOPEN 30
4005691;TRATURIL 5,631G/8G
4005692;LEVOXIN 750MG
4005700;SINTEZYS 150MG
4005701;HEIMER 10
4005710;NOVANLO 5MG
4005712;ALTA D
4005720;COLIDIS 5ML
4005721;ANSITEC 5MG
4005722;CALTREN 10MG
4005723;CALTREN 20MG
4005724;CARDILOL 12,5MG
4005725;CARDILOL 25MG
4005726;CARDILOL 6,25MG
4005727;CEBRALAT 100MG
4005728;CEBRALAT 50MG
4005729;DIMINUT C/63CP
4005730;VICK BABY
4005732;VICK BABY
4005733;TYFLEN 750MG
4005736;COLAGENO HIDROL
4005737;DIFFERIN 0,3%
4005738;LEVOXIN 750
4005739;ACICLOVIR CR
4005740;TRIMEBUTINA 200MG
4005741;PANTOGAR TOP
4005742;ABLOK 50MG
4005743;DEPOMES 25MG/ML+5MG/ML
4005744;NORESTIN 0,35MG
4005745;VASOPRIL PLUS
4005746;FLAGASS GTS
4005747;FOSTAIR HFA
4005751;PEDIALYTE 30
4005752;GLAUB MD
4005753;PLENANCE 5MG
4005760;ELANI 28
4005761;ELANI CICLO
4005766;FINALOP 1MG
4005767;GESTINOL 30/75MG
4005768;IUMI 3MG+0,02MG
4005769;IUMI ES
4005770;IUMI ES
4005771;LIBIAM 1,25MG
4005772;LIBIAM 2,5MG
4005773;LUMIXYL LOCAO
4005774;MINIAN C/21CP
4005775;MINIAN C/63CP
4005776;NACTALI 75MG
4005777;NACTALI 75MG
4005778;NAPRIX 10MG
4005779;NATIFA PRO
4005780;PLENANCE 10MG
4005781;PLENANCE 10MG
4005782;PLENANCE 20MG
4005783;PLENANCE 20MG
4005784;PLENANCE 5MG
4005785;SALSEP JET
4005786;SALSEP JET
4005787;SALSEP JET
4005788;SALSEP JET
4005789;SIBLIMA C/72CP
4005790;STANGLIT 15MG
4005791;STANGLIT 30MG
4005792;SUMAX 100MG
4005793;SUMAX 50MG
4005794;SUMAX PRO
4005795;SUMAX PRO
4005796;SUMAX SOL
4005797;TARFIC 1,0MG/G
4005798;UMIDITA AI
4005799;UMIDITA INF
4005800;UMIDITA LOCAO
4005801;UMIDITA ROSTO
4005802;VATIS 150MG
4005803;VATIS 150MG
4005804;VENZER 16MG
4005805;VENZER 32MG
4005806;VENZER 8MG
4005807;VENZER HCT
4005808;MECLIN 50
4005810;DULCOGAS CAP
4005811;DULCOGAS 5MG/ML
4005813;GENFIBROZILA 900MG
4005814;LACTOSIL C/30
4005815;TARGIFOR C/
4005822;ALBENDAZOL 400MG
4005823;ALBENDAZOL 400MG
4005824;ALBENDAZOL 40MG/ML
4005825;ALOPURINOL 100MG
4005826;ALOPURINOL 300MG
4005827;ANLODIPINO BESILATO
4005828;ANLODIPINO BESILATO
4005829;ANLODIPINO BESILATO
4005830;ATENOLOL 100MG
4005831;ATENOLOL 25MG
4005832;ATENOLOL 50MG
4005833;BETA+AC SALICIL
4005834;BETAISTINA DICLOR
4005835;BETAISTINA DICLOR
4005836;BETAISTINA DICLOR
4005837;BETAISTINA DICLOR
4005838;BETAMETASONA+AC SALICIL
4005839;BETAMETASONA+CETOCONAZOL CR
4005840;BETAMETASONA+CETOCONAZOL POM
4005841;BROMOPRIDA 10MG
4005842;BROMOPRIDA 4MG/ML
4005843;CABERGOLINA 0,5MG
4005844;CABERGOLINA 0,5MG
4005845;CAPTOPRIL 25MG
4005846;CAPTOPRIL 50MG
4005847;CARBOCISTEINA 20MG/ML
4005848;CARBOCISTEINA 50MG/ML
4005849;CETOCONAZOL 200MG
4005850;CETOCONAZOL CR
4005851;CETOTIFENO 0,2MG/ML
4005852;CIMETIDINA 200MG
4005853;CLOBETASOL PROP
4005854;DESLORATADINA 0,5MG/ML
4005855;DESLORATADINA 0,5MG/ML
4005856;DEXAMETASONA AC
4005857;DEXCLOR MAL
4005858;DEXCLOR+BETA 0,4+0,05MG/ML
4005859;DEXPROTENOL 50MG/G
4005860;DICLOFENACO SODICO
4005861;DIGOXINA 0,05MG/ML
4005862;DIPIRONA 500MG
4005863;DIPIRONA 500MG
4005864;DIPIRONA 500MG
4005865;FENOTEROL BRD
4005866;GLIBENCLAMIDA 5MG
4005867;HIDROCLOROTIAZIDA 25MG
4005868;IBUPROFENO 600MG
4005869;IBUPROFENO 600MG
4005870;INDAPAMIDA LP
4005871;INDAPAMIDA LP
4005872;IPRATROPIO BR
4005873;LANSOPRAZOL 30MG
4005874;LANSOPRAZOL 30MG
4005875;LORATADINA 1MG/ML
4005876;LOSARTANA POTASSICA
4005877;LOSARTANA POTASSICA
4005878;LOSARTANA POTASSICA
4005879;MEMANTINA CLD
4005880;MEMANTINA CLD
4005881;MEMANTINA CLD
4005882;METFORMINA CLD
4005883;METFORMINA CLD
4005884;METFORMINA CLD
4005885;METFORMINA CLD
4005886;METFORMINA CLD
4005887;METFORMINA CLD
4005888;METFORMINA CLD
4005889;MICONAZOL NIT
4005890;MICONAZOL NIT
4005891;NEOMICINA SULF
4005892;NEOMICINA+BACITRACINA POM
4005893;NEOMICINA+BACITRACINA POM
4005894;NIMESULIDA 100MG
4005895;NIMESULIDA 100MG
4005896;NISTA 100000UI/ML
4005897;NISTATINA CR
4005898;ORLISTATE 120MG
4005899;ORLISTATE 120MG
4005900;OXICONAZOL NIT
4005901;PANTOPRAZOL LR
4005902;PANTOPRAZOL LR
4005903;PANTOPRAZOL LR
4005904;PANTOPRAZOL LR
4005905;PARACETAMOL 200MG/ML
4005906;PARACETAMOL 500MG
4005907;PARACETAMOL 500MG
4005908;PARACETAMOL 750MG
4005909;PARACETAMOL 750MG
4005910;PARACETAMOL 750MG
4005911;PERMETRINA 10MG/G
4005912;PREDNI FOSF
4005913;PREDNI FOSF
4005914;PREDNI FOSF
4005915;PREDNI FOSF
4005916;PREDNI FOSF
4005917;PREDNISOLONA 20MG
4005918;PROPAFENONA CLD
4005919;PROPAFENONA CLD
4005920;PROPRANOLOL CLD
4005921;SALBUTAMOL SUL
4005922;SILDENAFILA CTO
4005923;SILDENAFILA CTO
4005924;SILDENAFILA CTO
4005925;SILDENAFILA CTO
4005926;SILDENAFILA CTO
4005927;SILDENAFILA CTO
4005928;SILDENAFILA CTO
4005929;SILDENAFILA CTO
4005930;SIMETICONA 40MG
4005931;SIMETICONA 75MG/ML
4005932;TADALAFILA 20MG
4005933;TADALAFILA 20MG
4005934;TADALAFILA 20MG
4005935;TINIDAZOL+MICONAZOL CR
4005936;TIOCONAZOL+TINIDAZOL CR
4005937;TRIANCINOLONA ACET
4005938;NASOCLEAN SPRAY
4005940;GINKGO VITAL
4005941;GINKGO VITAL
4005942;PRATIDERM POM
4005943;PRATIGLOS POM
4005944;GINKGO VITAL
4005945;VICK PASTILHAS
4005946;ATROVERAN DIP
4005949;ATROVERAN DIP
4005950;CAPTOPRIL 50MG
4005951;LAVITAN MULTI
4005952;LAVITAN MULTI
4005953;LAVITAN HAIR
4005954;LAVITAN BEAUTY
4005961;LAVITAN MULTI
4005972;NORETISTERONA ENT+ESTR
4005980;MIRTAZAPINA 30MG
4005995;DEXILANT 30MG
4006000;PEDIDERM LOÃÃO
4006010;MOTILEX 30
4006020;OSTEOTRAT 4CP
4006030;VALDA PASTILHAS
4006031;PREST 30
4006032;ARADOIS 25/MG
4006040;BASAGLAR KWIKPEN
4006041;BREXIN 20MG
4006042;BRIMONIDINA 1,5MG
4006043;BRIMONIDINA 2MG
4006044;BRIMONIDINA 2MG
4006045;DORZAL 20MG/ML
4006046;NESINA MET
4006047;NESINA PIO
4006048;NESINA PIO
4006049;SOMALGIN CARDIO
4006054;TOFRANIL PAMOATO
4006055;INDOCID 25MG
4006056;MIRTAZAPINA ORODISP
4006057;AEROLIN SOL
4006060;DORZAL MT
4006061;NESINA MET
4006070;THERAPSOR SOL
4006071;XIGDUO XR
4006072;ARADOIS 25MG
4006073;ADES TERMICO
4006075;PARACETAMOL 750MG
4006080;ALCACHOFRA SIMPLES
4006081;ALCACHOFRA SIMPLES
4006082;ALCACHOFRA SIMPLES
4006083;ZYLORIC 100MG
4006084;ZYLORIC 300MG
4006085;TOFRANIL 10MG
4006086;TOFRANIL 25MG
4006088;SUPLAN 30CP
4006100;AMATO 100MG
4006112;MICOZEN CRM
4006121;DESOL C/20ML
4006131;UNO CICLO
4006141;PANTOPRAZOL 20MG
4006142;LEPONEX 100MG
4006150;ACETATO DE
4006151;ACETATO DE
4006152;ACICLOVIR COMPRIMIDO
4006153;ALPRAZOLAM 1MG
4006154;AMIODARONA 100MG
4006155;AMIODARONA 200MG
4006156;ATENOLOL+CLO 100+25MG
4006157;ATENOLOL+CLO 100+25MG
4006158;ATENOLOL+CLORTALIDONA 100+25MG
4006161;BIMATOPROSTA 0,3MG/ML
4006162;CAPTOPRIL 12,5MG
4006163;CARVEDILOL 6,25MG
4006164;CETOCONAZOL+DIPROPIONATO BETAMET
4006165;CICLOPIROX OLAMINA
4006166;CITRATO DE
4006167;CITRATO DE
4006168;CITRATO DE
4006169;CITRATO DE
4006170;CL CIPROFLOXACINO
4006171;CLARITROMICINA 500MG
4006180;CLONAZEPAM 0,5MG
4006181;CLONAZEPAM 2,5MG/ML
4006182;CLOR TERBINAFINA
4006183;CLORIDRATO DE
4006184;CLORIDRATO DE
4006185;CLORIDRATO DE
4006186;CLORIDRATO DE
4006187;DESVENLAFAXINA 100MG
4006188;DESVENLAFAXINA 50MG
4006189;DICLOFENACO COLESTIRAMINA
4006190;DICLOFENACO COLESTIRAMINA
4006191;DICLORIDRATO CETIRIZINA
4006192;DIPROP. BETAMET.+SULF.
4006193;DUOTRAT 0,5
4006194;FINASTERIDA 5MG
4006195;FLUXOCOR 20MG
4006196;FLUXOCOR 40MG
4006197;FLUXOCOR ANLO
4006198;FLUXOCOR ANLO
4006199;FLUXOCOR ANLO
4006200;FRANOL 120
4006201;FUROATO DE
4006202;GENFIBROZILA 900MG
4006203;GLIMEPIRIDA 1MG
4006204;GLIMEPIRIDA 2MG
4006205;GLIMEPIRIDA 4MG
4006206;LOSARTANA POTASSICA
4006207;LOSARTANA+HIDROCLORO. 50+12,5
4006208;LOSARTANA+HIDROCLOROT 100+25MG
4006209;MALEATO DE
4006210;MELOXICAM 15MG
4006211;MINIMA COMP
4006212;MONTELUCASTE DE
4006213;NISTATINA CREME
4006214;OMEPRAZOL 20MG
4006215;OMEPRAZOL 40MG
4006216;PANTOPRAZOL 20MG
4006217;PREDNISONA 20MG
4006218;PREGABALINA 75
4006219;PROFENID 25
4006220;PROFENID SUPOSITORIO
4006221;PROFENID XAROPE
4006222;PROPIONATO DE
4006223;PURAN T4
4006224;PURAN T4
4006225;PURAN T4
4006226;PURAN T4
4006227;PURAN T4
4006228;QUETIAPINA 100MG
4006229;QUETIAPINA 200MG
4006230;QUETIAPINA 25MG
4006231;RESPIRATUS 7MG/ML
4006232;CLEXANE SAFETY
4006234;GENTAMICINA SUSP
4006235;DEPURA 1.000
4006236;DEPURA 7.000
4006237;DEPURA 50.000
4006238;DEPURA 2.000
4006239;DEPURA 7.000
4006240;RISPERIDONA COMP
4006241;ADALAT OROS
4006242;ADALAT OROS
4006243;ESOMEPRAZOL EMS
4006244;ABRILAR FQM
4006245;ABRILAR FQM
4006246;AEROLIN GSK
4006247;AEROLIN GSK
4006249;ACERTANLO SVR
4006250;RISPERIDONA COMP
4006251;ROSUVASTATINA CALCICA
4006252;SECNIDAZOL 1000MG
4006253;SUCCINATO DE
4006254;SUCCINATO DE
4006255;TADALAFILA 20MG
4006256;TRAVOPROSTA 0,04MG/ML
4006257;VALSARTANA 160MG
4006258;VALSARTANA 320MG
4006259;VALSARTANA 80MG
4006260;ACERTANLO SVR
4006261;ACERTANLO SVR
4006262;AFRIN BCH
4006263;AFRIN BCH
4006264;GÃSICO RETARD
4006265;ESC 20MG
4006266;COQUES 200
4006267;COQUES 200
4006268;LEG 0,5MG
4006269;LEG 0,5MG
4006272;ANADOR 500ML
4006274;ACETATO DE
4006276;ACICLOVIR CREME
4006277;ATENOLOL 25MG
4006278;ATENOLOL 50MG
4006279;ATENOLOL 100MG
4006280;ACICLOVIR-GEN 400MG
4006282;EQUALIV CARTLIV
